B011013,7384343.0229,251340.6341,341.6818,set_base,0.0000,0.0000,0.0000
B011014,7390246.6571,247002.9312,320.8988,set_base,0.0000,0.0000,0.0000
B011016,7390616.8220,247329.9820,319.9950,set_base,0.0000,0.0000,0.0000
cercadv,7390609.0134,247361.0695,321.6794,,0.0050,0.0070,0.0180
marco1,7390609.3061,247361.1001,321.4424,,0.0050,0.0070,0.0180
marco2,7391161.5148,247527.7296,306.7574,,0.0060,0.0070,0.0200
cercadv2,7391161.6681,247527.8602,307.1484,,0.0060,0.0070,0.0200
riod1,7390670.4005,246145.8364,291.1994,,0.0090,0.0090,0.0230
riod2viz,7390658.3144,246157.2956,291.1184,,0.0080,0.0090,0.0220
riod3,7390654.5492,246156.7364,291.0344,,0.0090,0.0090,0.0220
riod4,7390656.0330,246157.2108,291.0684,,0.0090,0.0100,0.0240
riod5,7390655.0310,246159.0189,290.7594,,0.0090,0.0100,0.0240
riod6,7390652.3554,246171.4538,290.9564,,0.0080,0.0080,0.0200
riod7,7390651.2801,246209.9171,291.4464,,0.0080,0.0080,0.0200
riod8,7390645.9913,246229.8410,291.2664,,0.0080,0.0080,0.0190
riod9,7390653.1668,246261.1787,291.2364,,0.0090,0.0080,0.0190
riod10,7390663.6681,246287.0603,290.8564,,0.0090,0.0080,0.0190
riod11,7390677.5145,246298.1718,291.0154,,0.0090,0.0080,0.0200
riod12,7390683.3101,246309.7519,291.2624,,0.0090,0.0080,0.0210
riod13,7390683.9582,246320.2149,291.3814,,0.0090,0.0080,0.0210
riod14,7390663.5555,246337.0298,291.1264,,0.0090,0.0080,0.0200
riod15,7390657.8954,246348.9485,291.3704,,0.0090,0.0080,0.0200
riod16,7390633.5700,246372.4693,291.3064,,0.0080,0.0080,0.0190
riod17,7390624.5604,246379.8895,291.9284,,0.0090,0.0080,0.0200
riod18,7390613.6653,246416.3820,291.6114,,0.0130,0.0110,0.0290
riod19,7390622.1902,246457.2206,291.6654,,0.0100,0.0090,0.0210
riod20,7390636.8667,246479.8060,291.6974,,0.0090,0.0080,0.0210
riod21,7390665.5295,246532.0874,292.0504,,0.0070,0.0060,0.0150
riod22,7390675.4605,246553.8624,291.9674,,0.0070,0.0060,0.0150
riod23,7390689.9592,246558.3809,292.5194,,0.0070,0.0060,0.0160
riod24,7390723.3605,246611.5593,292.1794,,0.0080,0.0070,0.0210
riod25,7390740.8363,246634.2262,293.1354,,0.0100,0.0090,0.0300
riod26,7390759.2551,246674.9144,292.3464,,0.0080,0.0070,0.0210
riod27,7390700.3044,246739.7075,293.9784,,0.0060,0.0070,0.0190
riod28,7390707.3751,246778.4390,294.7514,,0.0060,0.0070,0.0200
riod29,7391219.5659,247562.5218,296.7034,,0.0050,0.0070,0.0190
riod30,7391220.3590,247553.3670,296.6094,,0.0040,0.0060,0.0170
riod31,7391224.4388,247548.1028,296.8784,,0.0040,0.0050,0.0150
riod32,7391222.4243,247543.5106,296.4684,,0.0040,0.0050,0.0150
riod33,7391205.4870,247494.4542,296.4024,,0.0060,0.0080,0.0240
riod34,7391194.1916,247476.2625,296.4234,,0.0050,0.0080,0.0240
riod35,7391178.8576,247453.0583,296.2924,,0.0050,0.0070,0.0230
riod36,7391171.3499,247433.3780,296.4354,,0.0060,0.0070,0.0260
riod37,7391160.4970,247425.1099,297.0924,,0.0070,0.0080,0.0270
riod38,7391149.7496,247415.6436,297.6084,,0.0060,0.0080,0.0270
riod39,7391139.3184,247400.5393,297.1784,,0.0060,0.0080,0.0270
riod40,7391130.2545,247394.4796,297.0224,,0.0050,0.0070,0.0230
riod41,7391122.7173,247376.8740,296.2774,,0.0050,0.0070,0.0210
riod42,7391124.5532,247369.1893,296.5824,,0.0050,0.0070,0.0200
riod43,7391135.2774,247356.2301,297.0274,,0.0060,0.0080,0.0230
riod44,7391125.2610,247352.5625,296.8294,,0.0060,0.0070,0.0230
riod45,7391115.8765,247348.0886,296.2294,,0.0060,0.0080,0.0250
riod46,7391103.0404,247319.6865,297.2514,,0.0060,0.0080,0.0250
riod47,7391085.1569,247305.5724,299.0374,,0.0060,0.0080,0.0240
riod48,7391008.8561,247235.5047,298.4664,,0.0060,0.0080,0.0250
riod49,7390993.0715,247215.0004,296.6554,,0.0060,0.0090,0.0290
riod50,7390978.2801,247200.3973,297.0054,,0.0070,0.0070,0.0240
riod51,7390978.0709,247199.5761,297.1504,brejo,0.0060,0.0070,0.0210
